Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Spreadsheet: num_classes,Spreadsheet: colormap,Spreadsheet: variation,Spreadsheet: condition,Spreadsheet: trial_type,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: group_number
1,1789992007000,21/09/2026 12:00:07,1789992007000,1,21/09/2026 13:00:07,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,1,Display 1,Screen 1,,,response,20,,,,4027.1,,,4027.1,1,4027.1,,,,Response,,,Display1,disc_20_3_tab20sa.png,20,tab20sa,3,sa,discrimination,How many distinct classes do you see?,20,1
2,1789992014000,21/09/2026 12:00:14,1789992014000,1,21/09/2026 13:00:14,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,2,Display 1,Screen 1,,,response,25,,,,4082.2,,,4082.2,0,4082.2,,,,Response,,,Display1,disc_30_1_tab20sa.png,30,tab20sa,1,sa,discrimination,How many distinct classes do you see?,30,1
3,1789992021000,21/09/2026 12:00:21,1789992021000,1,21/09/2026 13:00:21,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,3,Display 1,Screen 1,,,response,20,,,,4079.8,,,4079.8,1,4079.8,,,,Response,,,Display1,disc_20_2_tab20.png,20,tab20,2,baseline,discrimination,How many distinct classes do you see?,20,1
4,1789992028000,21/09/2026 12:00:28,1789992028000,1,21/09/2026 13:00:28,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,4,Display 1,Screen 1,,,response,5,,,,3874.1,,,3874.1,1,3874.1,,,,Response,,,Display1,disc_5_1_tab20sa.png,5,tab20sa,1,sa,discrimination,How many distinct classes do you see?,5,1
5,1789992035000,21/09/2026 12:00:35,1789992035000,1,21/09/2026 13:00:35,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,5,Display 1,Screen 1,,,response,5,,,,4200.9,,,4200.9,1,4200.9,,,,Response,,,Display1,disc_5_3_tab20sa.png,5,tab20sa,3,sa,discrimination,How many distinct classes do you see?,5,1
6,1789992042000,21/09/2026 12:00:42,1789992042000,1,21/09/2026 13:00:42,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,6,Display 1,Screen 1,,,response,10,,,,4482.6,,,4482.6,1,4482.6,,,,Response,,,Display1,disc_10_1_tab20sa.png,10,tab20sa,1,sa,discrimination,How many distinct classes do you see?,10,1
7,1789992049000,21/09/2026 12:00:49,1789992049000,1,21/09/2026 13:00:49,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,7,Display 1,Screen 1,,,response,30,,,,7180.6,,,7180.6,1,7180.6,,,,Response,,,Display1,disc_30_1_tab20.png,30,tab20,1,baseline,discrimination,How many distinct classes do you see?,30,1
8,1789992056000,21/09/2026 12:00:56,1789992056000,1,21/09/2026 13:00:56,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,8,Display 1,Screen 1,,,response,5,,,,3477.5,,,3477.5,1,3477.5,,,,Response,,,Display1,disc_5_3_tab20.png,5,tab20,3,baseline,discrimination,How many distinct classes do you see?,5,1
9,1789992063000,21/09/2026 12:01:03,1789992063000,1,21/09/2026 13:01:03,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,9,Display 1,Screen 1,,,response,15,,,,11218.8,,,11218.8,0,11218.8,,,,Response,,,Display1,disc_20_2_tab20sa.png,20,tab20sa,2,sa,discrimination,How many distinct classes do you see?,20,1
10,1789992070000,21/09/2026 12:01:10,1789992070000,1,21/09/2026 13:01:10,229051,38,synthetic-g1,,SYN-S1-S1_PRIV_001,S1PUB001,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1,SYNTHETIC,G1,G1,G1,10,Display 1,Screen 1,,,response,5,,,,1977.9,,,1977.9,1,1977.9,,,,Response,,,Display1,disc_5_2_tab20sa.png,5,tab20sa,2,sa,discrimination,How many distinct classes do you see?,5,1
