Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial_number,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: correct_answer,Spreadsheet: left_option,Spreadsheet: right_option,Spreadsheet: confidence_rating
1,1789992007000,21/09/2026 12:00:07,1789992007000,1,21/09/2026 13:00:07,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,1,Display 1,Screen 1,,,response,optimized.png,,,,8131.3,,,8131.3,,8131.3,,,,,,,Display 1,1,compare_20_medium_optimized.png,compare_20_medium_baseline.png,optimized.png,baseline.png,optimized.png,
2,1789992014000,21/09/2026 12:00:14,1789992014000,1,21/09/2026 13:00:14,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,2,Display 1,Screen 1,,,response,optimized.png,,,,5124.6,,,5124.6,,5124.6,,,,,,,Display 1,2,compare_5_medium_optimized.png,compare_5_medium_baseline.png,optimized.png,optimized.png,baseline.png,
3,1789992021000,21/09/2026 12:00:21,1789992021000,1,21/09/2026 13:00:21,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,3,Display 1,Screen 1,,,response,baseline.png,,,,3989.7,,,3989.7,,3989.7,,,,,,,Display 1,3,compare_30_hard_baseline.png,compare_30_hard_optimized.png,optimized.png,optimized.png,baseline.png,
4,1789992028000,21/09/2026 12:00:28,1789992028000,1,21/09/2026 13:00:28,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,4,Display 1,Screen 1,,,response,optimized.png,,,,6205.0,,,6205.0,,6205.0,,,,,,,Display 1,4,compare_5_hard_optimized.png,compare_5_hard_baseline.png,optimized.png,optimized.png,baseline.png,
5,1789992035000,21/09/2026 12:00:35,1789992035000,1,21/09/2026 13:00:35,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,5,Display 1,Screen 1,,,response,optimized.png,,,,6221.8,,,6221.8,,6221.8,,,,,,,Display 1,5,compare_10_hard_optimized.png,compare_10_hard_baseline.png,optimized.png,baseline.png,optimized.png,
6,1789992042000,21/09/2026 12:00:42,1789992042000,1,21/09/2026 13:00:42,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,6,Display 1,Screen 1,,,response,optimized.png,,,,2783.4,,,2783.4,,2783.4,,,,,,,Display 1,6,compare_30_medium_optimized.png,compare_30_medium_baseline.png,optimized.png,optimized.png,baseline.png,
7,1789992049000,21/09/2026 12:00:49,1789992049000,1,21/09/2026 13:00:49,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,7,Display 1,Screen 1,,,response,baseline.png,,,,2145.2,,,2145.2,,2145.2,,,,,,,Display 1,7,compare_10_medium_optimized.png,compare_10_medium_baseline.png,optimized.png,baseline.png,optimized.png,
8,1789992056000,21/09/2026 12:00:56,1789992056000,1,21/09/2026 13:00:56,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,8,Display 1,Screen 1,,,response,optimized.png,,,,4551.9,,,4551.9,,4551.9,,,,,,,Display 1,8,compare_20_hard_baseline.png,compare_20_hard_optimized.png,optimized.png,optimized.png,baseline.png,
9,1789992063000,21/09/2026 12:01:03,1789992063000,1,21/09/2026 13:01:03,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,9,Display 1,Screen 1,,,response,optimized.png,,,,6802.2,,,6802.2,,6802.2,,,,,,,Display 1,9,compare_10_easy_optimized.png,compare_10_easy_baseline.png,optimized.png,optimized.png,baseline.png,
10,1789992070000,21/09/2026 12:01:10,1789992070000,1,21/09/2026 13:01:10,229051,38,synthetic-pairwise,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Pairwise Comparison Task2,SYNTHETIC,G1,Pairwise Comparison,Pairwise Comparison,10,Display 1,Screen 1,,,response,optimized.png,,,,4042.4,,,4042.4,,4042.4,,,,,,,Display 1,10,compare_30_easy_optimized.png,compare_30_easy_baseline.png,optimized.png,optimized.png,baseline.png,
