Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m119,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: correct_answer,Spreadsheet: image,Spreadsheet: tag
1,1789992007000,21/09/2026 12:00:07,1789992007000,1,21/09/2026 13:00:07,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,3595.5,,,3595.5,1,3595.5,,,,,,,Display 1,12,12,Q1_answer
2,1789992014000,21/09/2026 12:00:14,1789992014000,1,21/09/2026 13:00:14,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,4800.3,,,4800.3,1,4800.3,,,,,,,Display 2,16,16,Q2_answer
3,1789992021000,21/09/2026 12:00:21,1789992021000,1,21/09/2026 13:00:21,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,2155.5,,,2155.5,1,2155.5,,,,,,,Display 3,29,29,Q3_answer
4,1789992028000,21/09/2026 12:00:28,1789992028000,1,21/09/2026 13:00:28,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_001,BLINDED,S1_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3770.2,,,3770.2,1,3770.2,,,,,,,Display 4,26,26,Q4_answer
5,1789992035000,21/09/2026 12:00:35,1789992035000,1,21/09/2026 13:00:35,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,2593.2,,,2593.2,1,2593.2,,,,,,,Display 1,12,12,Q1_answer
6,1789992042000,21/09/2026 12:00:42,1789992042000,1,21/09/2026 13:00:42,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,3975.0,,,3975.0,1,3975.0,,,,,,,Display 2,16,16,Q2_answer
7,1789992049000,21/09/2026 12:00:49,1789992049000,1,21/09/2026 13:00:49,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,2316.7,,,2316.7,1,2316.7,,,,,,,Display 3,29,29,Q3_answer
8,1789992056000,21/09/2026 12:00:56,1789992056000,1,21/09/2026 13:00:56,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_002,BLINDED,S1_PRIV_002,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,3935.1,,,3935.1,1,3935.1,,,,,,,Display 4,26,26,Q4_answer
9,1789992063000,21/09/2026 12:01:03,1789992063000,1,21/09/2026 13:01:03,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,6228.2,,,6228.2,1,6228.2,,,,,,,Display 1,12,12,Q1_answer
10,1789992070000,21/09/2026 12:01:10,1789992070000,1,21/09/2026 13:01:10,229051,38,synthetic-vision,,SYN-S1-S1_PRIV_003,BLINDED,S1_PRIV_003,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,2250.2,,,2250.2,1,2250.2,,,,,,,Display 2,16,16,Q2_answer
