Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-6fcy,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: trial_number,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: correct_answer,Spreadsheet: left_option,Spreadsheet: right_option,Spreadsheet: confidence_rating,Spreadsheet: optimized_side,Spreadsheet: preferred_side,Spreadsheet: image,Spreadsheet: tag,Spreadsheet: num_classes,Spreadsheet: colormap,Spreadsheet: variation,Spreadsheet: condition,Spreadsheet: trial_type,Spreadsheet: question
1,1789992007000,21/09/2026 12:00:07,1789992007000,1,21/09/2026 13:00:07,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,4800.7,,,4800.7,1,4800.7,,,,Number Entry,,,Display 1,,,,12,,,,,,12,Q1_answer,,,,,,
2,1789992014000,21/09/2026 12:00:14,1789992014000,1,21/09/2026 13:00:14,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,3657.0,,,3657.0,1,3657.0,,,,Number Entry,,,Display 2,,,,16,,,,,,16,Q2_answer,,,,,,
3,1789992021000,21/09/2026 12:00:21,1789992021000,1,21/09/2026 13:00:21,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,2469.0,,,2469.0,1,2469.0,,,,Number Entry,,,Display 3,,,,29,,,,,,29,Q3_answer,,,,,,
4,1789992028000,21/09/2026 12:00:28,1789992028000,1,21/09/2026 13:00:28,263105,5,synthetic-vision-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check,SYNTHETIC,G1,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,2784.9,,,2784.9,1,2784.9,,,,Number Entry,,,Display 4,,,,26,,,,,,26,Q4_answer,,,,,,
5,1789992035000,21/09/2026 12:00:35,1789992035000,1,21/09/2026 13:00:35,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,1,Display 1,Screen 1,,,response,5,,,,2307.6,,,2307.6,1,2307.6,,,,Response,,,Display 1,,,,5,,,,,,disc_5_2_distinctipysa.png,,5,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
6,1789992042000,21/09/2026 12:00:42,1789992042000,1,21/09/2026 13:00:42,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,2,Display 1,Screen 1,,,response,5,,,,6148.4,,,6148.4,1,6148.4,,,,Response,,,Display 1,,,,5,,,,,,disc_5_2_distinctipy.png,,5,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
7,1789992049000,21/09/2026 12:00:49,1789992049000,1,21/09/2026 13:00:49,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,3,Display 1,Screen 1,,,response,30,,,,5894.1,,,5894.1,1,5894.1,,,,Response,,,Display 1,,,,30,,,,,,disc_30_1_distinctipysa.png,,30,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
8,1789992056000,21/09/2026 12:00:56,1789992056000,1,21/09/2026 13:00:56,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,4,Display 1,Screen 1,,,response,30,,,,6346.7,,,6346.7,1,6346.7,,,,Response,,,Display 1,,,,30,,,,,,disc_30_2_distinctipysa.png,,30,distinctipysa,2,sa,discrimination,How many distinct classes do you see?
9,1789992063000,21/09/2026 12:01:03,1789992063000,1,21/09/2026 13:01:03,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,5,Display 1,Screen 1,,,response,20,,,,7162.3,,,7162.3,1,7162.3,,,,Response,,,Display 1,,,,20,,,,,,disc_20_2_distinctipy.png,,20,distinctipy,2,baseline,discrimination,How many distinct classes do you see?
10,1789992070000,21/09/2026 12:01:10,1789992070000,1,21/09/2026 13:01:10,263105,5,synthetic-disc-s2,,SYN-S2-S2_PRIV_001,S2P001,S2_PRIV_001,,complete,SYNTHETIC,,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task G1 (Clone),SYNTHETIC,G1,Group1,Group1,6,Display 1,Screen 1,,,response,5,,,,2238.8,,,2238.8,0,2238.8,,,,Response,,,Display 1,,,,10,,,,,,disc_10_1_distinctipysa.png,,10,distinctipysa,1,sa,discrimination,How many distinct classes do you see?
