Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-8f1r,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: correct_answer,Spreadsheet: image,Spreadsheet: tag,Spreadsheet: layout_id,Spreadsheet: participant_group,Spreadsheet: condition_order,Spreadsheet: block_order,Spreadsheet: source_branch,Spreadsheet: source_commit,Spreadsheet: reference_notebook_path,Spreadsheet: palette_source_path,Spreadsheet: palette_copy_path,Spreadsheet: palette_type,Spreadsheet: dataset_source_path,Spreadsheet: dataset_sha256,Spreadsheet: background,Spreadsheet: condition,Spreadsheet: num_classes,Spreadsheet: difficulty_num,Spreadsheet: difficulty_label,Spreadsheet: scale_factor,Spreadsheet: colormap,Spreadsheet: trial_type,Spreadsheet: question,Spreadsheet: baseline_palette_seed,Spreadsheet: rendering_figsize,Spreadsheet: rendering_dpi,Spreadsheet: rendering_alpha,Spreadsheet: rendering_point_size,Spreadsheet: rendering_pad_ratio,Spreadsheet: objective_score,Spreadsheet: min_pairwise_dE,Spreadsheet: mean_pairwise_dE,Spreadsheet: min_background_dE,Spreadsheet: mean_background_dE,Spreadsheet: background_penalty,Spreadsheet: table_stop_reason,Spreadsheet: table_evals_used,Spreadsheet: optimization_rerun,Spreadsheet: constrained_method_used,Spreadsheet: trial_number,Spreadsheet: trial_id,Spreadsheet: side_schedule,Spreadsheet: image_left,Spreadsheet: image_right,Spreadsheet: optimized_side,Spreadsheet: baseline_image,Spreadsheet: optimized_image,Spreadsheet: response_option_left,Spreadsheet: response_option_right,Spreadsheet: preferred_side,Spreadsheet: selected_condition,Spreadsheet: optimized_selected,Spreadsheet: task1_source_branch,Spreadsheet: task1_source_commit,Spreadsheet: task1_reference_notebook_path,Spreadsheet: task2_reference_notebook_path,Spreadsheet: baseline_palette_source_path,Spreadsheet: optimized_palette_source_path,Spreadsheet: baseline_min_pairwise_dE,Spreadsheet: baseline_mean_pairwise_dE,Spreadsheet: baseline_min_bg_dE,Spreadsheet: baseline_mean_bg_dE,Spreadsheet: baseline_background_penalty,Spreadsheet: baseline_objective_score,Spreadsheet: optimized_min_pairwise_dE,Spreadsheet: optimized_mean_pairwise_dE,Spreadsheet: optimized_min_bg_dE,Spreadsheet: optimized_mean_bg_dE,Spreadsheet: optimized_background_penalty,Spreadsheet: optimized_objective_score,Spreadsheet: palette_regenerated,Spreadsheet: images_rerendered
1,1789992007000,21/09/2026 12:00:07,1789992007000,1,21/09/2026 13:00:07,275904,7,synthetic-vision-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check (Clone),SYNTHETIC,G_WB_OrigFirst,spreadsheet,spreadsheet,1,Display 1,Screen 1,,,response,12,,,,3921.5,,,3921.5,1,3921.5,,,,Number Entry,,,Display 1,12,12,Q1_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1789992014000,21/09/2026 12:00:14,1789992014000,1,21/09/2026 13:00:14,275904,7,synthetic-vision-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check (Clone),SYNTHETIC,G_WB_OrigFirst,spreadsheet,spreadsheet,1,Display 2,Screen 1,,,response,16,,,,3158.4,,,3158.4,1,3158.4,,,,Number Entry,,,Display 2,16,16,Q2_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1789992021000,21/09/2026 12:00:21,1789992021000,1,21/09/2026 13:00:21,275904,7,synthetic-vision-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check (Clone),SYNTHETIC,G_WB_OrigFirst,spreadsheet,spreadsheet,1,Display 3,Screen 1,,,response,29,,,,4783.5,,,4783.5,1,4783.5,,,,Number Entry,,,Display 3,29,29,Q3_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1789992028000,21/09/2026 12:00:28,1789992028000,1,21/09/2026 13:00:28,275904,7,synthetic-vision-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Vision Check (Clone),SYNTHETIC,G_WB_OrigFirst,spreadsheet,spreadsheet,1,Display 4,Screen 1,,,response,26,,,,2029.1,,,2029.1,1,2029.1,,,,Number Entry,,,Display 4,26,26,Q4_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1789992035000,21/09/2026 12:00:35,1789992035000,1,21/09/2026 13:00:35,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,1,Display 1,Screen 1,,,response,10,,,,5468.1,,,5468.1,1,5468.1,,,,Answer_10,,,Display 1,10,disc_K10_D1_orig_white.png,,K10_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,10,1,easy,0.80,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1789992042000,21/09/2026 12:00:42,1789992042000,1,21/09/2026 13:00:42,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,2,Display 1,Screen 1,,,response,10,,,,5283.3,,,5283.3,1,5283.3,,,,Answer_10,,,Display 1,10,disc_K10_D2_orig_white.png,,K10_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,10,2,medium,1.00,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1789992049000,21/09/2026 12:00:49,1789992049000,1,21/09/2026 13:00:49,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,3,Display 1,Screen 1,,,response,10,,,,4066.1,,,4066.1,1,4066.1,,,,Answer_10,,,Display 1,10,disc_K10_D3_orig_white.png,,K10_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,10,3,hard,1.30,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1789992056000,21/09/2026 12:00:56,1789992056000,1,21/09/2026 13:00:56,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,4,Display 1,Screen 1,,,response,20,,,,5276.4,,,5276.4,1,5276.4,,,,Answer_20,,,Display 1,20,disc_K20_D1_orig_white.png,,K20_D1,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,20,1,easy,0.80,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1789992063000,21/09/2026 12:01:03,1789992063000,1,21/09/2026 13:01:03,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,5,Display 1,Screen 1,,,response,20,,,,4313.6,,,4313.6,1,4313.6,,,,Answer_20,,,Display 1,20,disc_K20_D2_orig_white.png,,K20_D2,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,20,2,medium,1.00,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1789992070000,21/09/2026 12:01:10,1789992070000,1,21/09/2026 13:01:10,275904,7,synthetic-disc-s3,,SYN-S3-S3_PRIV_001,S3P001,S3_PRIV_001,,complete,SYNTHETIC,S3_EXT_001,computer,Synthetic desktop,Synthetic OS,Synthetic Browser,1920 x 1080,1440 x 900,,,,Discrimination Task,SYNTHETIC,G_WB_OrigFirst,G_WB_OrigFirst,G_WB_OrigFirst,6,Display 1,Screen 1,,,response,20,,,,5507.9,,,5507.9,1,5507.9,,,,Answer_20,,,Display 1,20,disc_K20_D3_orig_white.png,,K20_D3,G_WB_OrigFirst,OriginalFirst,WhiteBlack,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,SYNTHETIC,original,SYNTHETIC,SYNTHETIC,white,C1_original_distinctipy,20,3,hard,1.30,distinctipy_original,discrimination,How many distinct classes do you see?,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
